Month,Weightloss,FORECAST,STD,L,U,RESIDUAL
01JAN18,90,89.398500026,3.0078909592,83.503142077,95.293857976,0.6014999735
01FEB18,80,84.021424508,3.0078909592,78.126066559,89.916782458,-4.021424508
01MAR18,81,80.17816649,3.0078909592,74.282808541,86.07352444,0.8218335099
01APR18,82,81.155329531,3.0078909592,75.259971582,87.050687481,0.8446704688
01MAY18,80,80.021596758,3.0078909592,74.126238808,85.916954707,-0.021596758
01JUN18,77,77.237218769,3.0078909592,71.341860819,83.132576718,-0.237218769
01JUL18,80,79.236922615,3.0078909592,73.341564665,85.132280564,0.7630773852
01AUG18,76,75.475192959,3.0078909592,69.57983501,81.370550909,0.5248070406
01SEP18,70,69.541663309,3.0078909592,63.646305359,75.437021258,0.4583366913
01OCT18,67,68.00206046,3.0078909592,62.10670251,73.897418409,-1.00206046
01NOV18,63,65.907927102,3.0078909592,60.012569153,71.803285052,-2.907927102
01DEC18,62,56.563807609,3.0078909592,50.66844966,62.459165558,5.436192391
01JAN19,,87.137067037,3.0078909592,81.241709088,93.032424986,
01FEB19,,79.655504231,3.6101038056,72.579830791,86.73117767,
01MAR19,,80.427359797,4.1253231331,72.341875031,88.512844562,
01APR19,,80.506969453,4.582982917,71.524487994,89.489450912,
01MAY19,,78.537346934,4.998917271,68.739649121,88.335044747,
01JUN19,,75.831461925,5.3828073854,65.281353314,86.381570536,
01JUL19,,77.332910288,5.7410849857,66.080590484,88.585230092,
01AUG19,,73.79647995,6.0782808653,61.883268366,85.709691534,
01SEP19,,68.341015383,6.3977292646,55.801696442,80.880334325,
01OCT19,,65.761030145,6.7019684577,52.625413342,78.896646947,
01NOV19,,63.156892018,6.9929838176,49.450895591,76.862888445,
01DEC19,,58.283328556,7.2723630368,44.029758921,72.53689819,
01JAN20,,84.845896767,7.9197687858,69.323435181,100.36835835,
01FEB20,,77.407877612,8.3845641119,60.974433927,93.841321298,
01MAR20,,77.636521475,8.8249132047,60.340009427,94.933033523,
01APR20,,77.466460277,9.244310185,59.347945252,95.584975301,
01MAY20,,76.594845064,9.6454885061,57.690034979,95.499655149,
01JUN20,,73.507441435,10.172037866,53.570613568,93.444269302,
01JUL20,,75.425285296,10.625143695,54.600386324,96.250184268,
01AUG20,,71.674509467,11.059701746,49.997892366,93.351126569,
01SEP20,,66.163019501,11.477818908,43.66690782,88.659131181,
01OCT20,,63.61316726,11.881231042,40.326382327,86.899952194,
01NOV20,,61.031699423,12.271388481,36.98021996,85.083178885,
01DEC20,,56.075043039,12.649517754,31.282443819,80.867642259,
